State,Electricity_Price_cents_per_kWh,Grid_Capacity_MW,Renewable_Share_Percent,Carbon_Intensity_kgCO2_per_kWh,Power_Reliability_Score,Transmission_Congestion_Score,Land_Availability_Score,Water_Stress_Score,Existing_Data_Center_Ecosystem_Score,Interconnection_Queue_Time_Years,Available_Transmission_Capacity_MW,Substation_Availability_Score,Load_Growth_Pressure_Percent,Power_Delivery_Risk_Score,Natural_Gas_Price_USD_per_MMBtu,Solar_Resource_Score,Geothermal_Potential_Score,Nuclear_Capacity_MW,Behind_The_Meter_Potential_Score,Regional_Competitiveness_Score,price_score,capacity_score,renewable_score,data_center_count,ecosystem_score,competitiveness_score,natural_gas_share,btm_score,renewable_share
Texas,9.79,168317,14.7,,,,,,,,,,,,,,,,,,1.0,1.0,0.2803532008830022,467,0.7491166077738516,0.7867292428636913,55.7,0.7794117647058824,14.7
Virginia,10.62,29147,6.5,,,,,,,,,,,,,,,,,,0.9518840579710146,0.11940015186028853,0.09933774834437087,609,1.0,0.618495739512034,54.5,0.7573529411764706,6.5
Oregon,11.11,17692,42.8,,,,,,,,,,,,,,,,,,0.9234782608695652,0.04691850164515313,0.9006622516556292,125,0.14487632508833923,0.5594407199748382,57.1,0.8051470588235293,42.8
Nevada,11.47,16725,22.3,,,,,,,,,,,,,,,,,,0.9026086956521738,0.04079979751961529,0.44812362030905084,71,0.04946996466431095,0.5157942346135777,67.7,1.0,22.3
California,27.04,96773,34.0,,,,,,,,,,,,,,,,,,0.0,0.5473044798785117,0.7064017660044151,287,0.43109540636042404,0.4689196539131553,49.7,0.6691176470588236,34.0
Ohio,11.29,30491,2.3,,,,,,,,,,,,,,,,,,0.9130434782608695,0.12790432801822324,0.006622516556291387,210,0.2950530035335689,0.4552339806224467,54.0,0.7481617647058824,2.3
Washington,10.13,30975,47.3,,,,,,,,,,,,,,,,,,0.9802898550724636,0.1309668438370033,1.0,103,0.10600706713780919,0.45227628262121994,26.1,0.23529411764705882,47.3
Pennsylvania,12.51,48856,2.0,,,,,,,,,,,,,,,,,,0.8423188405797101,0.244109086307264,0.0,131,0.15547703180212014,0.4234729035025247,51.4,0.7003676470588234,2.0
Arizona,12.74,32877,7.1,,,,,,,,,,,,,,,,,,0.8289855072463768,0.14300177170336623,0.11258278145695365,156,0.19964664310954064,0.39965170163039976,45.6,0.5937499999999999,7.1
Georgia,11.4,39746,5.8,,,,,,,,,,,,,,,,,,0.9066666666666666,0.1864654517843584,0.08388520971302428,219,0.31095406360424027,0.3954220766915361,35.5,0.4080882352941176,5.8
North Carolina,11.65,36337,5.8,,,,,,,,,,,,,,,,,,0.8921739130434782,0.16489496330043027,0.08388520971302428,93,0.08833922261484099,0.35977101889576235,39.0,0.4724264705882352,5.8
Indiana,11.38,27837,6.0,,,,,,,,,,,,,,,,,,0.9078260869565217,0.1111111111111111,0.08830022075055188,122,0.13957597173144876,0.35753957883710497,37.8,0.45036764705882343,6.0
Utah,9.97,10277,8.8,,,,,,,,,,,,,,,,,,0.9895652173913043,0.0,0.1501103752759382,43,0.0,0.30452886447553396,31.6,0.3363970588235294,8.8
Illinois,12.21,46279,6.1,,,,,,,,,,,,,,,,,,0.8597101449275362,0.22780308782586686,0.09050772626931568,228,0.32685512367491165,0.2964498302260603,13.3,0.0,6.1
Tennessee,10.9,20605,5.2,,,,,,,,,,,,,,,,,,0.9356521739130436,0.06535054416603392,0.07064017660044151,61,0.03180212014134275,0.23645846472238555,17.5,0.07720588235294115,5.2
